Last,First,State,Office,District,Activity
Shepherd,Rick,NV,US Representative,2,No
Sherman,Jayesun,MN,US Representative,7,No
Van Drew,Jeff,NJ,US Representative,2,Yes
Waters,Allen,RI,US Senator,,No
Young,Geoff,KY,US Representative,6,No
Freshour,Shannon,OH,US Representative,4,No
Holden,David,FL,US Representative,19,No
Ferguson,Dana,MI,US Representative,1,No*
DiSanto,Delina,AZ,US Representative,4,No
Starky,Stuart,AZ,US Representative,4,No
Zahradka,Tawnja,MN,US Representative,6,No
Williams,Vangie,VA,US Representative,1,No
Quilter,Peter,AZ,US Representative,2,No
Castaldo,Richie,OK,US Representative,2,No
Beardsley,Michael,WI,US Representative,6,No
Rood,Bill,MN,US Representative,1,No
Khanna,Ro,CA,US Representative,17,Yes
Walsingham,Blair,TN,US Representative,1,No
Musselwhite,Bob,AZ,US Representative,8,No
Castle,Jaime,OH,US Representative,2,No
Olson,Kim,TX,US Representative,24,No
Kahn,Kevin,OH,US Representative,1,No
Hassan,Ahmad R.,MN,US Senator,,No
Potter,Quentin,OH,US Representative,7,No
Ross,Gena,MO,US Representative,6,No
Bailey,Corey,WA,US Representative,8,No
Wilson,Dave,WA,US Representative,5,No
Tims,Desiree,OH,US Representative,10,No
Turley,Mark,DE,US Senator,,No
Bero,Maxwell,MD,US Representative,6,No*
Mauro,Eddie,IA,US Senator,,No*
Lopez,Samelys,NY,US Representative,15,No*
Dorris,D. Liam,IN,US Representative,9,No*
Escuder,Jaime,TX,US Representative,23,No*
Graham,Kimberly,IA,US Senator,,No*
Burger,Harry,NY,US Representative,2,No*
Morris,Matthew,DE,US Representative,,No
Raths,Greg,CA,US Representative,45,No
Reed,Mark,CA,US Representative,30,No
Witzke,Lauren,DE,US Senator,,No
Coons ,Christopher,DE,US Senator,,Yes
